id,Producator,Dimensiune,Detalii,Aplicatie,Pret ROTIS cu TVA,Odai,Braila,Cluj,Cod articol
772,GENERAL TIRE,235/55/R17,GRABBER AT,4X4 VARA,450,3,0,0,AGT2355517HGRAT
787,GENERAL TIRE,265/70/R18,GRABBER HTS,4X4 VARA,200,1,0,0,AGT2657018SHTS
794,GENERAL TIRE,31/10.5/R15,GRABBER MT,4X4 VARA,400,2,0,0,AGT31105015QGRM
798,GENERAL TIRE,35/12.5/R15,GRABBER AT2,4X4 VARA,695.67,4,0,0,AGT35125015QGAT
799,GENERAL TIRE,7.5//R16C,SUPER ALL GRIP,4X4 VARA,300,4,0,0,AGT75016CSUPAG
806,KUMHO,215/55/R18,KH11,VARA,371.76,4,0,0,AK2155518HKH11
828,MICHELIN,155/65/R14,ENERGY E3B,VARA,240.97,3,0,0,AM1556514TE3B
832,MICHELIN,175/65/R14,ENERGY SAVER+,VARA,235.5,1,0,0,AM1756514TES+
840,MICHELIN,185/65/R15,ENERGY SAVER+,VARA,278.48,5,0,0,AM1856515TES+
847,MICHELIN,195/55/R15,ALPIN A4,IARNA,300,2,0,0,AM1955515TA4
850,MICHELIN,195/55/R16,ENERGY SAVER+,VARA,423.55,4,0,0,AM1955516TES+
858,MICHELIN,205/50/R17,PRIMACY 3,VARA,611.96,3,0,0,AM2055017VPS3X
890,MICHELIN,235/50/R18,LATITUDE DIAMARIS,4X4 VARA,200,1,0,0,AM2355018VLATD
896,MICHELIN,255/55/R20,LATITUDE SPORT,VARA,1254.26,4,0,0,AM2555520YLSX
913,NOKIAN,165/70/R14,I3,VARA,178.86,4,0,0,AN1657014TI3
915,NOKIAN,175/65/R14,I3,VARA,153.71,0,1,1,AN1756514TI3
917,NOKIAN,175/65/R14,WR D3,IARNA,200,18,4,0,AN1756514TWRD3
928,NOKIAN,185/60/R15,LINE,VARA,266.04,14,14,7,AN1856015HLI
937,NOKIAN,185/75/R16C,HAKKA C CARGO,LT VARA,275,1,2,0,AN1857516CSHA
943,NOKIAN,195/55/R16,LINE,VARA,337.89,23,1,0,AN1955516HLI
949,NOKIAN,195/65/R15,LINE,VARA,209.46,0,6,0,AN1956515HLI
955,NOKIAN,195/65/R15,LINE,VARA,212.77,8,0,0,AN1956515VLI
971,NOKIAN,205/50/R17,zLINE,VARA,450.37,1,0,0,AN2055017YZLIX
978,NOKIAN,205/60/R15,LINE,VARA,290.43,1,2,0,AN2056015HLI
980,NOKIAN,205/60/R16,LINE,VARA,332.65,30,3,0,AN2056016HLI
997,NOKIAN,215/45/R17,zLINE,VARA,389.58,9,0,0,AN2154517YZLI
999,NOKIAN,215/50/R17,zLINE,VARA,483.77,0,4,4,AN2155017WZLIX
1000,NOKIAN,215/55/R16,LINE,VARA,420.07,3,0,0,AN2155516HLI
1003,NOKIAN,215/55/R17,LINE,VARA,479.96,21,4,0,AN2155517VLI
1008,NOKIAN,215/60/R16,LINE,VARA,439.94,30,0,0,AN2156016VLIX
1012,NOKIAN,215/65/R15,LINE,VARA,339.94,2,0,0,AN2156515HLIX
1024,NOKIAN,225/35/R19,zLINE,VARA,612.02,3,0,0,AN2253519YZLI
1034,NOKIAN,225/45/R17,zLINE RUN FLAT,VARA,423.64,19,0,0,AN2254517WZLIR
1037,NOKIAN,225/45/R18,zLINE,VARA,578.63,30,0,10,AN2254518YZLI
1041,NOKIAN,225/50/R17,zLINE RUN FLAT,VARA,612.02,6,0,0,AN2255017WZLR
1050,NOKIAN,225/55/R17,zLINE,VARA,511.15,30,8,4,AN2255517YZLX
1055,NOKIAN,225/60/R16,WR A3,IARNA,200,1,0,0,AN2256016VWRA3X
1067,NOKIAN,225/75/R16,HAKKAPELIITA LT2,IARNA,742.08,12,0,0,AN2257516QHAK
1075,NOKIAN,235/40/R18,zLINE,VARA,524.52,30,0,4,AN2354018YZLIX
1077,NOKIAN,235/45/R17,zLINE,VARA,386.24,24,0,4,AN2354517YZLI
1080,NOKIAN,235/50/R18,zLINE,VARA,659.46,18,0,0,AN2355018YZLIX
1082,NOKIAN,235/55/R17,zLINE,VARA,504.48,0,0,2,AN2355517YZLX
1085,NOKIAN,235/55/R19,WR SUV 3,4X4 IARNA,847.17,1,0,8,AN2355519VWRS3
1100,NOKIAN,235/70/R16,ROTIIVA AT,4X4 VARA,472.55,2,0,0,AN2357016TRO
1107,NOKIAN,245/40/R18,zLINE,VARA,563.99,2,0,0,AN2454018YZLI
1108,NOKIAN,245/40/R19,zLINE,VARA,720.24,8,0,0,AN2454019YZLI
1112,NOKIAN,245/45/R18,zLINE,VARA,605.34,7,0,6,AN2454518YZLI
1116,NOKIAN,245/50/R20,Z SUV,4X4 VARA,400,1,0,0,AN2455020WZ
1121,NOKIAN,255/35/R18,zLINE,VARA,585.3,1,0,0,AN2553518YZLIX
1123,NOKIAN,255/35/R20,WR A3,IARNA,400,1,0,0,AN2553520WWRA3X
1125,NOKIAN,255/35/R20,zLINE,VARA,801.07,4,0,0,AN2553520YZLI
1127,NOKIAN,255/40/R19,zLINE,VARA,740.27,0,0,2,AN2554019YZLI
1144,NOKIAN,265/50/R19,WR SUV 3,4X4 IARNA,847.17,2,0,0,AN2655019VWRS3
1147,NOKIAN,265/60/R18,ROTIIVA AT,4X4 VARA,712.81,3,0,0,AN2656018TROX
1149,NOKIAN,265/65/R17,WR SUV 3,4X4 IARNA,709.13,30,4,8,AN2656517HWRSU3
1164,NOKIAN,275/60/R20,ROTIIVA AT,4X4 VARA,750,2,0,0,AN2756020HRO
1167,NOKIAN,285/60/R18,HT SUV,4X4 VARA,400,1,0,0,AN2856018HHTS
1178,PIRELLI,195/55/R16,P1 CINTURATO RUN FLAT,VARA,474.02,4,0,0,AP1955516HP1CIR
1214,PIRELLI,275/40/R22,SCORPION WINTER,4X4 IARNA,1457.7,16,0,0,AP2754022VSCWX
1215,PIRELLI,315/35/R20,SCORPION ICE&SNOW RUN FLAT,IARNA,2049.89,1,0,0,AP3153520VSISR
1245,SAVA,"285/70/R19,5",ORJAK O3,TRACTIUNE REGIONAL VARA,1250,5,0,0,AS28570195O3
1247,SAVA,"295/80/R22,5",ORJAK 4,TRACTIUNE REGIONAL VARA,1050,0,1,0,AS29580225MO4
1254,SAVA,"385/65/R22,5",CARGO MS,TRAILER SANTIER VARA,1400,5,13,0,AS38565225CMS
1257,SEMPERIT,155/65/R14,COMFORT LIFE 2,VARA,154.26,1,0,0,ASE1556514TCL2
1268,SEMPERIT,185/65/R15,COMFORT LIFE 2,VARA,191.32,3,0,4,ASE1856515TCF2
1285,SEMPERIT,215/55/R16,SPEED GRIP 2,IARNA,382.7,9,0,0,ASE2155516HSG2
1288,SEMPERIT,215/70/R15C,VAN GRIP 2,LT IARNA,411.92,19,0,0,ASE2157015CRVG2
1295,SEMPERIT,235/65/R16C,VAN GRIP 2,LT IARNA,571.4,2,0,0,ASE2356516CRVG2
